Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,151.101.64.217,151.101.128.217,125791.8901,140087.29,-14295.3999,8.217,8.098,0.119,Yes,32,32,2612.877204,2612.877204,0,89
130.245.192.6,104.199.64.136,104.154.127.47,46720.60108,29315.74893,17404.85215,214.921,33.119,181.802,Yes,20,22,2604.218551,2604.218551,0,99
130.245.192.6,216.58.219.227,216.58.218.227,1083.635807,1226.340055,-142.7042484,8.418,13.058,-4.64,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,104.27.216.28,104.27.217.28,3046.321154,1037.31513,2009.006023,8.284,8.221,0.063,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,219.85.79.131,219.85.79.131,5615.706921,4227.148056,1388.558865,265.628,258.877,6.751,Yes,16,16,7916.252699,7916.252699,0,5785
130.245.192.6,133.237.61.176,104.107.3.177,121658.217,649.0187645,121009.1982,245.747,8.998,236.749,Yes,32,9,6764.683156,146.0685797,6618.614576,20
130.245.192.6,211.159.244.178,104.107.2.28,90155.49731,5508.758068,84646.73924,386.959,8.597,378.362,Yes,32,9,6835.445738,146.0685797,6689.377158,4
130.245.192.6,101.227.188.174,104.106.255.143,46908.37979,5603.683233,41304.69656,338.509,9.32,329.189,Yes,21,10,7393.922269,146.0685797,7247.853689,20
130.245.192.6,54.213.36.26,104.244.99.17,28787.54091,80977.39482,-52189.85391,79.466,79.068,0.398,Yes,27,32,2335.125002,2285.770375,49.35462771,60
130.245.192.6,108.174.11.74,108.174.10.19,120790.916,115764.6561,5026.259899,43.591,14.781,28.81,Yes,32,32,2604.218551,2604.218551,0,2458
130.245.192.6,104.16.166.50,104.16.165.50,1057.758808,1032.623053,25.13575554,11.019,7.855,3.164,Yes,5,5,1336.019277,1336.019277,0,300
