Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,185.147.178.13,185.147.178.14,1062.4868869781494,5581.167221069336,-4518.6803340911865,101.997,100.513,1.4839999999999947,Yes,10,10,6097.935165300524,6097.935165300524,0.0,300
130.245.192.6,103.64.14.20,103.64.14.17,6892.353057861328,3148.2150554656982,3744.13800239563,297.292,324.682,-27.390000000000043,No,21,21,10039.229266268636,10039.229266268636,0.0,3600
130.245.192.6,104.16.195.240,104.16.194.240,6031.418800354004,6030.151844024658,1.2669563293457031,6.628,8.012,-1.3840000000000003,No,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,198.134.112.242,198.134.112.243,120168.2538986206,114397.95303344727,5770.30086517334,10.285,10.423,-0.1379999999999999,Yes,32,32,29.088864140406177,29.088864140406177,0.0,1800
130.245.192.6,104.16.58.5,104.16.58.5,1060.2049827575684,5024.893283843994,-3964.688301086426,10.101,13.777,-3.6759999999999984,No,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,205.204.101.42,198.11.132.23,104571.54393196106,105842.23294258118,-1270.6890106201172,74.327,74.296,0.0309999999999917,Yes,32,32,2616.9089756015073,2616.9089756015073,0.0,120
130.245.192.6,169.45.207.192,169.47.19.136,95449.62573051453,99301.1519908905,-3851.5262603759766,30.146,15.733,14.413,Yes,32,32,267.7546493925931,267.7546493925931,0.0,30
130.245.192.6,199.109.99.136,23.67.250.176,64.78214263916016,5592.190980911255,-5527.408838272095,13.293,26.396,-13.103000000000002,No,5,5,214.34187456615308,30.063375164397378,184.2784994017557,20
130.245.192.6,104.18.72.52,104.18.74.52,6037.532806396484,1044.8048114776611,4992.727994918823,7.243,8.031,-0.7880000000000003,Yes,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,216.58.218.228,216.58.218.227,1289.2029285430908,2174.745798110962,-885.5428695678711,14.405,13.328,1.077,Yes,11,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,204.74.99.100,96.43.145.26,130203.17196846008,5185.32919883728,125017.8427696228,14.105,34.138,-20.032999999999998,No,32,9,2614.445366907318,2612.435653058019,2.00971384929926,90
130.245.192.6,216.58.219.227,216.58.218.227,6098.602056503296,2203.181028366089,3895.421028137207,7.914,11.974,-4.0600000000000005,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
